,tickers,best_value,best_param
49,ADSK,1.4472284076839619,"{'r1': 9, 'ad': 17, 'limad': 12, 'wmean': 9, 'mc_ratio': 1.43}"
50,ADP,1.2682729179031087,"{'r1': 5, 'ad': 29, 'limad': 4, 'wmean': 5, 'mc_ratio': 1.02}"
51,AZO,1.3202112735573346,"{'r1': 5, 'ad': 14, 'limad': 13, 'wmean': 8, 'mc_ratio': 1.46}"
52,AVB,1.4432444801692563,"{'r1': 5, 'ad': 7, 'limad': 13, 'wmean': 9, 'mc_ratio': 1.02}"
53,AVY,1.1090863287001373,"{'r1': 5, 'ad': 11, 'limad': 19, 'wmean': 10, 'mc_ratio': 1.37}"
54,AXON,1.7992054618346496,"{'r1': 5, 'ad': 18, 'limad': 16, 'wmean': 7, 'mc_ratio': 1.38}"
55,BKR,1.5909523505407317,"{'r1': 5, 'ad': 17, 'limad': 7, 'wmean': 3, 'mc_ratio': 1.02}"
56,BALL,1.5311149791702536,"{'r1': 9, 'ad': 18, 'limad': 7, 'wmean': 10, 'mc_ratio': 1.02}"
57,BAC,1.5387733560556522,"{'r1': 9, 'ad': 15, 'limad': 10, 'wmean': 11, 'mc_ratio': 1.05}"
58,BAX,1.4766056237726897,"{'r1': 9, 'ad': 30, 'limad': 6, 'wmean': 5, 'mc_ratio': 1.03}"
59,BDX,1.1433152983112056,"{'r1': 6, 'ad': 26, 'limad': 18, 'wmean': 11, 'mc_ratio': 1.27}"
60,BRK.B,,
61,BBY,1.2924571229160922,"{'r1': 8, 'ad': 8, 'limad': 15, 'wmean': 12, 'mc_ratio': 1.49}"
62,TECH,1.6419580935754268,"{'r1': 13, 'ad': 30, 'limad': 11, 'wmean': 7, 'mc_ratio': 1.35}"
63,BIIB,1.300517219462689,"{'r1': 13, 'ad': 22, 'limad': 8, 'wmean': 9, 'mc_ratio': 1.05}"
64,BLK,1.6928039045867167,"{'r1': 5, 'ad': 22, 'limad': 2, 'wmean': 9, 'mc_ratio': 1.03}"
65,BX,1.718635370707109,"{'r1': 5, 'ad': 9, 'limad': 5, 'wmean': 12, 'mc_ratio': 1.4}"
66,BK,1.3559588538544594,"{'r1': 12, 'ad': 17, 'limad': 20, 'wmean': 11, 'mc_ratio': 1.45}"
67,BA,1.4231854668444495,"{'r1': 11, 'ad': 29, 'limad': 18, 'wmean': 9, 'mc_ratio': 1.28}"
68,BKNG,1.4471063233384316,"{'r1': 6, 'ad': 9, 'limad': 15, 'wmean': 9, 'mc_ratio': 1.45}"
69,BWA,1.1799699705826499,"{'r1': 5, 'ad': 8, 'limad': 20, 'wmean': 7, 'mc_ratio': 1.03}"
70,BSX,1.2447089181897775,"{'r1': 14, 'ad': 16, 'limad': 20, 'wmean': 12, 'mc_ratio': 1.05}"
71,BMY,1.3634688722921273,"{'r1': 14, 'ad': 20, 'limad': 16, 'wmean': 3, 'mc_ratio': 1.03}"
72,AVGO,1.5406575323794647,"{'r1': 10, 'ad': 29, 'limad': 4, 'wmean': 12, 'mc_ratio': 1.46}"
73,BR,1.21828075596917,"{'r1': 6, 'ad': 30, 'limad': 13, 'wmean': 3, 'mc_ratio': 1.11}"
74,BRO,1.5389384034818199,"{'r1': 13, 'ad': 11, 'limad': 3, 'wmean': 11, 'mc_ratio': 1.03}"
75,BF.B,,
76,BLDR,1.777104057034008,"{'r1': 11, 'ad': 18, 'limad': 17, 'wmean': 12, 'mc_ratio': 1.12}"
77,BG,1.2977948984582546,"{'r1': 15, 'ad': 21, 'limad': 16, 'wmean': 4, 'mc_ratio': 1.48}"
78,BXP,1.6265879759925184,"{'r1': 11, 'ad': 30, 'limad': 13, 'wmean': 11, 'mc_ratio': 1.09}"
79,CHRW,1.2147060376100818,"{'r1': 14, 'ad': 29, 'limad': 15, 'wmean': 7, 'mc_ratio': 1.02}"
80,CDNS,1.475319341718151,"{'r1': 5, 'ad': 18, 'limad': 10, 'wmean': 12, 'mc_ratio': 1.1}"
81,CZR,1.1060886107322083,"{'r1': 5, 'ad': 25, 'limad': 20, 'wmean': 6, 'mc_ratio': 1.26}"
82,CPT,1.2083838242227514,"{'r1': 6, 'ad': 7, 'limad': 3, 'wmean': 6, 'mc_ratio': 1.03}"
83,CPB,1.2355944684357845,"{'r1': 13, 'ad': 9, 'limad': 18, 'wmean': 9, 'mc_ratio': 1.01}"
84,COF,1.735651332032433,"{'r1': 11, 'ad': 11, 'limad': 10, 'wmean': 11, 'mc_ratio': 1.1}"
85,CAH,1.4988074306991461,"{'r1': 10, 'ad': 24, 'limad': 4, 'wmean': 7, 'mc_ratio': 1.37}"
86,KMX,1.3903656200689674,"{'r1': 6, 'ad': 8, 'limad': 4, 'wmean': 3, 'mc_ratio': 1.06}"
87,CCL,2.9212588399028006,"{'r1': 9, 'ad': 7, 'limad': 4, 'wmean': 5, 'mc_ratio': 1.31}"
