,tickers,best_value,best_param
63,BBY,1.149362833912729,"{'r1': 2, 'ad': 25, 'limad': 13, 'wmean': 4}"
64,BIO,1.24885900724976,"{'r1': 13, 'ad': 21, 'limad': 24, 'wmean': 7}"
65,TECH,1.236364558037003,"{'r1': 2, 'ad': 23, 'limad': 12, 'wmean': 6}"
66,BIIB,1.1312217741184585,"{'r1': 16, 'ad': 15, 'limad': 19, 'wmean': 6}"
67,BLK,1.8402190185505791,"{'r1': 8, 'ad': 14, 'limad': 9, 'wmean': 10}"
68,BX,1.695803860375118,"{'r1': 3, 'ad': 8, 'limad': 35, 'wmean': 5}"
69,BA,1.68324539044151,"{'r1': 8, 'ad': 4, 'limad': 15, 'wmean': 10}"
70,BKNG,1.6676552493819448,"{'r1': 30, 'ad': 4, 'limad': 19, 'wmean': 6}"
71,BWA,1.2575752430473257,"{'r1': 30, 'ad': 29, 'limad': 10, 'wmean': 9}"
72,BXP,1.299816756485704,"{'r1': 26, 'ad': 6, 'limad': 42, 'wmean': 10}"
73,BSX,1.110747035857178,"{'r1': 6, 'ad': 27, 'limad': 15, 'wmean': 7}"
74,BMY,1.1011497742275727,"{'r1': 6, 'ad': 2, 'limad': 74, 'wmean': 9}"
75,AVGO,1.4810560740985215,"{'r1': 29, 'ad': 5, 'limad': 31, 'wmean': 8}"
76,BR,1.5710617558911406,"{'r1': 9, 'ad': 4, 'limad': 23, 'wmean': 10}"
77,BRO,1.3489499194891277,"{'r1': 14, 'ad': 5, 'limad': 38, 'wmean': 8}"
78,BF.B,,
79,BLDR,2.195029941794787,"{'r1': 28, 'ad': 14, 'limad': 20, 'wmean': 7}"
80,BG,1.4132876221139408,"{'r1': 6, 'ad': 17, 'limad': 14, 'wmean': 8}"
81,CDNS,1.6253704505369544,"{'r1': 3, 'ad': 13, 'limad': 2, 'wmean': 10}"
82,CZR,1.011368051963025,"{'r1': 9, 'ad': 15, 'limad': 39, 'wmean': 4}"
83,CPT,1.0881663362710032,"{'r1': 3, 'ad': 19, 'limad': 31, 'wmean': 8}"
84,CPB,1.0370088872702337,"{'r1': 11, 'ad': 18, 'limad': 31, 'wmean': 8}"
85,COF,1.3198380747422183,"{'r1': 27, 'ad': 4, 'limad': 58, 'wmean': 7}"
86,CAH,1.7235674081491106,"{'r1': 16, 'ad': 4, 'limad': 7, 'wmean': 10}"
87,KMX,1.1027946667821524,"{'r1': 4, 'ad': 2, 'limad': 87, 'wmean': 4}"
88,CCL,2.456331093132026,"{'r1': 15, 'ad': 9, 'limad': 7, 'wmean': 4}"
89,CARR,1.5215383119794494,"{'r1': 2, 'ad': 20, 'limad': 10, 'wmean': 5}"
90,CTLT,2.6665627648572694,"{'r1': 3, 'ad': 5, 'limad': 35, 'wmean': 7}"
91,CAT,1.7930511693748645,"{'r1': 4, 'ad': 2, 'limad': 59, 'wmean': 10}"
92,CBOE,1.1671808402949493,"{'r1': 30, 'ad': 30, 'limad': 19, 'wmean': 10}"
93,CBRE,1.3394069570185863,"{'r1': 4, 'ad': 8, 'limad': 35, 'wmean': 4}"
94,CDW,1.371951018791685,"{'r1': 30, 'ad': 14, 'limad': 12, 'wmean': 6}"
95,CE,1.2145435515752694,"{'r1': 23, 'ad': 4, 'limad': 60, 'wmean': 7}"
96,COR,1.414194457792768,"{'r1': 13, 'ad': 16, 'limad': 10, 'wmean': 9}"
97,CNC,1.2091190261518612,"{'r1': 7, 'ad': 12, 'limad': 30, 'wmean': 6}"
98,CNP,1.3967385034844224,"{'r1': 2, 'ad': 23, 'limad': 11, 'wmean': 4}"
99,CDAY,1.209967531249645,"{'r1': 4, 'ad': 9, 'limad': 40, 'wmean': 7}"
100,CF,1.338862650404617,"{'r1': 10, 'ad': 8, 'limad': 31, 'wmean': 7}"
101,CHRW,1.1632322325915725,"{'r1': 7, 'ad': 16, 'limad': 33, 'wmean': 8}"
102,CRL,1.5302568151742393,"{'r1': 2, 'ad': 9, 'limad': 28, 'wmean': 5}"
103,SCHW,1.7101293979119288,"{'r1': 11, 'ad': 22, 'limad': 11, 'wmean': 10}"
104,CHTR,1.4260279485345937,"{'r1': 24, 'ad': 4, 'limad': 42, 'wmean': 4}"
105,CVX,1.4003966991274872,"{'r1': 3, 'ad': 18, 'limad': 14, 'wmean': 8}"
106,CMG,1.7368032505461455,"{'r1': 2, 'ad': 19, 'limad': 12, 'wmean': 4}"
107,CB,1.2506991108862902,"{'r1': 15, 'ad': 3, 'limad': 42, 'wmean': 10}"
108,CHD,1.3600011656815176,"{'r1': 9, 'ad': 26, 'limad': 18, 'wmean': 7}"
109,CI,1.0715023145727343,"{'r1': 30, 'ad': 2, 'limad': 62, 'wmean': 7}"
110,CINF,1.3261439902189727,"{'r1': 18, 'ad': 27, 'limad': 5, 'wmean': 9}"
111,CTAS,1.3233775120512805,"{'r1': 7, 'ad': 23, 'limad': 3, 'wmean': 9}"
112,CSCO,1.0312342333829805,"{'r1': 19, 'ad': 4, 'limad': 66, 'wmean': 8}"
113,C,1.5905753047488993,"{'r1': 9, 'ad': 27, 'limad': 10, 'wmean': 9}"
114,CFG,1.3922003062954171,"{'r1': 19, 'ad': 2, 'limad': 50, 'wmean': 8}"
115,CLX,1.637890561490617,"{'r1': 2, 'ad': 24, 'limad': 16, 'wmean': 4}"
116,CME,1.1786029652276198,"{'r1': 28, 'ad': 4, 'limad': 46, 'wmean': 5}"
117,CMS,1.0610053055832365,"{'r1': 5, 'ad': 8, 'limad': 48, 'wmean': 6}"
118,KO,1.245108306012333,"{'r1': 5, 'ad': 8, 'limad': 24, 'wmean': 9}"
119,CTSH,1.1367521918029257,"{'r1': 15, 'ad': 19, 'limad': 17, 'wmean': 10}"
120,CL,1.200698165187531,"{'r1': 19, 'ad': 4, 'limad': 19, 'wmean': 7}"
121,CMCSA,1.2529594906322816,"{'r1': 25, 'ad': 3, 'limad': 13, 'wmean': 5}"
122,CMA,1.3899167919340116,"{'r1': 30, 'ad': 27, 'limad': 12, 'wmean': 10}"
123,CAG,1.255163313595864,"{'r1': 4, 'ad': 2, 'limad': 68, 'wmean': 4}"
124,COP,1.4445035629950858,"{'r1': 3, 'ad': 15, 'limad': 2, 'wmean': 9}"
125,ED,1.3508333798934893,"{'r1': 5, 'ad': 8, 'limad': 16, 'wmean': 7}"
126,STZ,1.334730471019318,"{'r1': 9, 'ad': 23, 'limad': 2, 'wmean': 10}"
127,CEG,,
128,COO,1.3173446477166433,"{'r1': 9, 'ad': 17, 'limad': 14, 'wmean': 4}"
129,CPRT,1.3975092400521951,"{'r1': 29, 'ad': 13, 'limad': 11, 'wmean': 7}"
130,GLW,1.167744231109074,"{'r1': 3, 'ad': 3, 'limad': 72, 'wmean': 7}"
131,CTVA,1.2107994761281922,"{'r1': 5, 'ad': 7, 'limad': 20, 'wmean': 9}"
132,CSGP,1.5982114458840668,"{'r1': 8, 'ad': 24, 'limad': 9, 'wmean': 5}"
133,COST,1.3193128056887717,"{'r1': 4, 'ad': 3, 'limad': 15, 'wmean': 7}"
134,CTRA,1.4353330304245369,"{'r1': 5, 'ad': 19, 'limad': 20, 'wmean': 8}"
135,CCI,1.3308009260978273,"{'r1': 16, 'ad': 17, 'limad': 24, 'wmean': 5}"
136,CSX,1.115351099755743,"{'r1': 22, 'ad': 3, 'limad': 72, 'wmean': 10}"
137,CMI,1.4254655974933976,"{'r1': 6, 'ad': 4, 'limad': 24, 'wmean': 4}"
138,CVS,1.2579613762544557,"{'r1': 28, 'ad': 3, 'limad': 43, 'wmean': 8}"
139,DHR,1.195385551966773,"{'r1': 13, 'ad': 22, 'limad': 25, 'wmean': 9}"
140,DRI,1.1475256280073278,"{'r1': 2, 'ad': 4, 'limad': 41, 'wmean': 8}"
141,DVA,1.2677865463291549,"{'r1': 11, 'ad': 4, 'limad': 70, 'wmean': 5}"
142,DE,1.4848158059550327,"{'r1': 13, 'ad': 13, 'limad': 14, 'wmean': 8}"
143,DAL,1.8453792968867277,"{'r1': 12, 'ad': 6, 'limad': 25, 'wmean': 6}"
144,XRAY,1.221462820409613,"{'r1': 12, 'ad': 30, 'limad': 8, 'wmean': 7}"
145,DVN,1.211485295346611,"{'r1': 5, 'ad': 15, 'limad': 27, 'wmean': 8}"
146,DXCM,1.7057462384892854,"{'r1': 16, 'ad': 3, 'limad': 28, 'wmean': 10}"
147,FANG,1.3004949815967997,"{'r1': 10, 'ad': 2, 'limad': 16, 'wmean': 10}"
148,DLR,1.33580609384552,"{'r1': 10, 'ad': 20, 'limad': 13, 'wmean': 8}"
149,DFS,1.3695958743815253,"{'r1': 29, 'ad': 4, 'limad': 33, 'wmean': 6}"
150,DG,1.2676247912713396,"{'r1': 6, 'ad': 24, 'limad': 26, 'wmean': 4}"
151,DLTR,1.410006881647559,"{'r1': 10, 'ad': 18, 'limad': 7, 'wmean': 5}"
152,D,1.521644241590142,"{'r1': 2, 'ad': 26, 'limad': 21, 'wmean': 5}"
153,DPZ,1.4445029662557862,"{'r1': 27, 'ad': 23, 'limad': 9, 'wmean': 10}"
154,DOV,1.0521739171455926,"{'r1': 29, 'ad': 28, 'limad': 22, 'wmean': 9}"
155,DOW,1.292661429463545,"{'r1': 2, 'ad': 2, 'limad': 23, 'wmean': 6}"
156,DHI,1.5506238367281235,"{'r1': 30, 'ad': 30, 'limad': 7, 'wmean': 5}"
157,DTE,1.0413268363540364,"{'r1': 3, 'ad': 21, 'limad': 38, 'wmean': 4}"
158,DUK,1.3000975531140047,"{'r1': 8, 'ad': 15, 'limad': 11, 'wmean': 9}"
159,DD,1.414412818899154,"{'r1': 8, 'ad': 23, 'limad': 10, 'wmean': 5}"
160,EMN,1.2591252755055093,"{'r1': 18, 'ad': 21, 'limad': 21, 'wmean': 9}"
161,ETN,1.447093316500117,"{'r1': 26, 'ad': 4, 'limad': 29, 'wmean': 7}"
162,EBAY,1.0999970042157183,"{'r1': 19, 'ad': 2, 'limad': 78, 'wmean': 9}"
163,ECL,1.4147233695165888,"{'r1': 13, 'ad': 16, 'limad': 24, 'wmean': 10}"
164,EIX,1.203050600065359,"{'r1': 7, 'ad': 7, 'limad': 25, 'wmean': 6}"
165,EW,1.179781723703065,"{'r1': 9, 'ad': 24, 'limad': 23, 'wmean': 7}"
166,EA,1.4184269510052985,"{'r1': 5, 'ad': 13, 'limad': 6, 'wmean': 4}"
167,ELV,1.0772042166575126,"{'r1': 6, 'ad': 2, 'limad': 91, 'wmean': 8}"
168,LLY,1.59155980970004,"{'r1': 3, 'ad': 17, 'limad': 8, 'wmean': 4}"
