,tickers,best_value,best_param
0,KRW-ETH,2.9533893169500223,"{'r1': 7, 'ad': 29, 'limad': 15, 'wmean': 4}"
1,KRW-BTC,2.391393835815867,"{'r1': 11, 'ad': 75, 'limad': 4, 'wmean': 6}"
