,tickers,best_value,best_param
0,KRW-BTC,1.8365009817065914,"{'r1': 3, 'ad': 62, 'limad': 5, 'wmean': 45}"
1,KRW-ETH,1.8365009817065914,"{'r1': 3, 'ad': 62, 'limad': 3, 'wmean': 45}"
