,tickers,best_value,best_param
0,KRW-BTC,2.266286283051843,"{'r1': 6, 'ad': 2, 'limad': 46, 'wmean': 5}"
1,KRW-ETH,3.029938803962762,"{'r1': 14, 'ad': 8, 'limad': 23, 'wmean': 9}"
