,tickers,best_value,best_param
58,KRW-MLK,2.2448582676941076,"{'r1': 2, 'ad': 30, 'limad': 16, 'wmean': 9}"
59,KRW-STPT,1.8829706192584392,"{'r1': 26, 'ad': 5, 'limad': 59, 'wmean': 10}"
60,KRW-ORBS,2.5880043073055545,"{'r1': 11, 'ad': 5, 'limad': 54, 'wmean': 9}"
61,KRW-VET,3.2995589243428833,"{'r1': 25, 'ad': 17, 'limad': 12, 'wmean': 9}"
62,KRW-CHZ,2.3935986311880946,"{'r1': 3, 'ad': 27, 'limad': 26, 'wmean': 10}"
63,KRW-STMX,2.27468512244514,"{'r1': 8, 'ad': 26, 'limad': 14, 'wmean': 9}"
64,KRW-DKA,1.673611615155448,"{'r1': 12, 'ad': 6, 'limad': 54, 'wmean': 8}"
65,KRW-HIVE,2.065326549076732,"{'r1': 5, 'ad': 3, 'limad': 14, 'wmean': 10}"
66,KRW-KAVA,1.8250722392945042,"{'r1': 20, 'ad': 3, 'limad': 83, 'wmean': 5}"
67,KRW-AHT,1.7150775784333347,"{'r1': 24, 'ad': 6, 'limad': 39, 'wmean': 10}"
68,KRW-LINK,2.5530405779913403,"{'r1': 14, 'ad': 3, 'limad': 23, 'wmean': 10}"
69,KRW-XTZ,2.5137578543724564,"{'r1': 3, 'ad': 23, 'limad': 19, 'wmean': 8}"
70,KRW-BORA,1.8769706234942227,"{'r1': 21, 'ad': 23, 'limad': 25, 'wmean': 10}"
71,KRW-JST,1.728780986879533,"{'r1': 21, 'ad': 9, 'limad': 44, 'wmean': 7}"
72,KRW-CRO,2.1840154340484057,"{'r1': 13, 'ad': 29, 'limad': 23, 'wmean': 10}"
73,KRW-TON,5.083976320710843,"{'r1': 8, 'ad': 9, 'limad': 27, 'wmean': 5}"
74,KRW-SXP,4.556217024156152,"{'r1': 4, 'ad': 28, 'limad': 20, 'wmean': 8}"
75,KRW-HUNT,1.8790594343385087,"{'r1': 3, 'ad': 3, 'limad': 72, 'wmean': 6}"
76,KRW-PLA,1.7066048861109162,"{'r1': 10, 'ad': 15, 'limad': 26, 'wmean': 4}"
77,KRW-DOT,1.9945838900788235,"{'r1': 19, 'ad': 29, 'limad': 18, 'wmean': 7}"
78,KRW-MVL,2.260333321665957,"{'r1': 3, 'ad': 11, 'limad': 31, 'wmean': 5}"
79,KRW-STRAX,1.4799392730525034,"{'r1': 26, 'ad': 2, 'limad': 95, 'wmean': 10}"
80,KRW-AQT,2.4910779721974277,"{'r1': 5, 'ad': 11, 'limad': 2, 'wmean': 10}"
81,KRW-GLM,1.2088634088013113,"{'r1': 30, 'ad': 13, 'limad': 48, 'wmean': 10}"
82,KRW-SSX,2.453421350577093,"{'r1': 10, 'ad': 10, 'limad': 21, 'wmean': 8}"
83,KRW-META,2.260528490629695,"{'r1': 22, 'ad': 11, 'limad': 39, 'wmean': 5}"
84,KRW-FCT2,2.107627615214466,"{'r1': 22, 'ad': 10, 'limad': 2, 'wmean': 10}"
85,KRW-CBK,2.7159935813259053,"{'r1': 3, 'ad': 4, 'limad': 35, 'wmean': 4}"
